product_title,handle,status,product_type,collections,tags,variant_title,option_name,option_value,sku,price,compare_at_price,unit_cost,inventory_qty
New England vs Everyone,new-england-vs-everyone-18-mesh,ACTIVE,Needlepoint Canvas,New England Sports|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-8
Newbury Street Sign,newbury-street-sign-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston|Street Signs,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-8
Newbury Street Sign,newbury-street-sign-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston|Street Signs,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-6
Lobster,lobster-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases|Best Sellers,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-10
Lobster,lobster-18-mesh,ACTIVE,Needlepoint Canvas,Nautical|Canvases|18 Count Canvases|Best Sellers,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-31
Cosmopolitan,cosmopolitan-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases|Best Sellers,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-2
Cosmopolitan,cosmopolitan-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases|Best Sellers,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-6
Espresso Martini,espresso-martini-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-3
Espresso Martini,espresso-martini-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-14
Martini,martini-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-2
Martini,martini-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-8
Aperol Spritz,aperol-spritz-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases|Best Sellers,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,95
Aperol Spritz,aperol-spritz-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|18 Count Canvases|Best Sellers,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-16
Comm Ave Street Sign,comm-ave-street-sign-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-1
Comm Ave Street Sign,comm-ave-street-sign-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-4
Green Shamrock Hoodie,green-shamrock-hoodie-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|St. Paddy's Day|18 Count Canvases,Boston,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-3
Green Shamrock Hoodie,green-shamrock-hoodie-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|St. Paddy's Day|18 Count Canvases,Boston,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
Black & Gold Hockey Jersey,black-gold-hockey-jersey-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Black & Gold Hockey Jersey,black-gold-hockey-jersey-18-mesh,ACTIVE,Needlepoint Canvas,Boston|Canvases|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
Shamrock Beer,shamrock-beer-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|St. Paddy's Day|18 Count Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-5
Shamrock Beer,shamrock-beer-18-mesh,ACTIVE,Needlepoint Canvas,Cocktails|Canvases|St. Paddy's Day|18 Count Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Red / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Red|Needleminder (Design)=Hydrangea,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Red / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Red|Needleminder (Design)=Balloon Dog,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Red / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Red|Needleminder (Design)=Matcha,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Red / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Red|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Red / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Red|Needleminder (Design)=Pearl Shell,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Red / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Red|Needleminder (Design)=Avocado,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Yellow / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Yellow|Needleminder (Design)=Hydrangea,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Yellow / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Yellow|Needleminder (Design)=Balloon Dog,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Yellow / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Yellow|Needleminder (Design)=Matcha,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Yellow / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Yellow|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Yellow / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Yellow|Needleminder (Design)=Pearl Shell,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Yellow / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Yellow|Needleminder (Design)=Avocado,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Blue / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Blue|Needleminder (Design)=Hydrangea,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Blue / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Blue|Needleminder (Design)=Balloon Dog,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Blue / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Blue|Needleminder (Design)=Matcha,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Blue / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Blue|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Blue / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Blue|Needleminder (Design)=Pearl Shell,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Blue / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Blue|Needleminder (Design)=Avocado,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Green / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Green|Needleminder (Design)=Hydrangea,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Green / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Green|Needleminder (Design)=Balloon Dog,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Green / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Green|Needleminder (Design)=Matcha,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Green / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Green|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Green / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Green|Needleminder (Design)=Pearl Shell,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Gold / Green / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Gold|Project Bag (Color)=Green|Needleminder (Design)=Avocado,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Red / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Red|Needleminder (Design)=Hydrangea,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Red / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Red|Needleminder (Design)=Balloon Dog,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Red / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Red|Needleminder (Design)=Matcha,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Red / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Red|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Red / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Red|Needleminder (Design)=Pearl Shell,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Red / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Red|Needleminder (Design)=Avocado,,20.00,29.00,,14
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Yellow / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Yellow|Needleminder (Design)=Hydrangea,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Yellow / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Yellow|Needleminder (Design)=Balloon Dog,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Yellow / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Yellow|Needleminder (Design)=Matcha,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Yellow / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Yellow|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Yellow / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Yellow|Needleminder (Design)=Pearl Shell,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Yellow / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Yellow|Needleminder (Design)=Avocado,,20.00,29.00,,36
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Blue / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Blue|Needleminder (Design)=Hydrangea,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Blue / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Blue|Needleminder (Design)=Balloon Dog,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Blue / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Blue|Needleminder (Design)=Matcha,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Blue / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Blue|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Blue / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Blue|Needleminder (Design)=Pearl Shell,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Blue / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Blue|Needleminder (Design)=Avocado,,20.00,29.00,,5
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Green / Hydrangea,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Green|Needleminder (Design)=Hydrangea,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Green / Balloon Dog,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Green|Needleminder (Design)=Balloon Dog,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Green / Matcha,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Green|Needleminder (Design)=Matcha,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Green / Needlepoint Bear,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Green|Needleminder (Design)=Needlepoint Bear,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Green / Pearl Shell,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Green|Needleminder (Design)=Pearl Shell,,20.00,29.00,,11
The Essentials Bundle,new-to-needlepoint-bundle,ACTIVE,,Accessories,,Silver / Green / Avocado,MULTI,Silver/Gold Embroidery Scissors (Color)=Silver|Project Bag (Color)=Green|Needleminder (Design)=Avocado,,20.00,29.00,,11
Needle Minder,needleminder,DRAFT,,Needle Minders,,Hydrangea,Design,Hydrangea,,10.00,,,-6
Needle Minder,needleminder,DRAFT,,Needle Minders,,Balloon Dog,Design,Balloon Dog,,10.00,,,-1
Needle Minder,needleminder,DRAFT,,Needle Minders,,Matcha,Design,Matcha,,10.00,,,-1
Needle Minder,needleminder,DRAFT,,Needle Minders,,Needlepoint Bear,Design,Needlepoint Bear,,10.00,,,-1
Needle Minder,needleminder,DRAFT,,Needle Minders,,Pearl Shell,Design,Pearl Shell,,10.00,,,-1
Needle Minder,needleminder,DRAFT,,Needle Minders,,Avocado,Design,Avocado,,10.00,,,0
