product_title,handle,status,product_type,collections,tags,variant_title,option_name,option_value,sku,price,compare_at_price,unit_cost,inventory_qty
Pats #10 Jersey (14),pats-10-jersey,DRAFT,Needlepoint Canvas,New England Sports|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-5
Pats #10 Jersey (14),pats-10-jersey,DRAFT,Needlepoint Canvas,New England Sports|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-14
Pats #00 Jersey (14),pats-00-jersey,DRAFT,Needlepoint Canvas,New England Sports|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Pats #00 Jersey (14),pats-00-jersey,DRAFT,Needlepoint Canvas,New England Sports|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
Pink Espresso Martini (14),pink-espresso-martini,DRAFT,Needlepoint Canvas,Cocktails|Galentine's Day|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
Pink Espresso Martini (14),pink-espresso-martini,DRAFT,Needlepoint Canvas,Cocktails|Galentine's Day|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-4
"""Ur Hot"" Heart (14)",ur-hot-heart,DRAFT,Needlepoint Canvas,Galentine's Day|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,0
"""Ur Hot"" Heart (14)",ur-hot-heart,DRAFT,Needlepoint Canvas,Galentine's Day|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
"""Ur Cute"" Heart (14)",ur-cute-heart,DRAFT,Needlepoint Canvas,Galentine's Day|Canvases,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-2
"""Ur Cute"" Heart (14)",ur-cute-heart,DRAFT,Needlepoint Canvas,Galentine's Day|Canvases,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-2
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,BLANC,Color,BLANC,BLANC,3.00,,,0
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,01,Color,01,ECRU,3.00,,,2
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,3688,Color,3688,B5200,3.00,,,3
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,209,Color,209,01,3.00,,,5
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,33,Color,33,03,3.00,,,5
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,815,Color,815,30,3.00,,,5
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,817,Color,817,32,3.00,,,4
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,741,Color,741,33,3.00,,,5
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,834,Color,834,34,3.00,,,6
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,987,Color,987,209,3.00,,,6
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,504,Color,504,210,3.00,,,4
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,3325,Color,3325,211,3.00,,,6
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,824,Color,824,221,3.00,,,6
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,823,Color,823,223,3.00,,,4
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,898,Color,898,224,3.00,,,6
DMC Size 5 Pearl Cotton Thread,dmc-size-5-pearl-cotton-thread,ACTIVE,Needlepoint Thread,,DMC|embroidery|needlepoint|pearl cotton|thread,310,Color,310,225,3.00,,,6
Womens Fleece Crewneck - Sand Dune,womens-fleece-crewneck,ACTIVE,,Merch,,HEATHR SAND DUNE / S,MULTI,Color=HEATHR SAND DUNE|Size=S,19g649mlbpe0ul,45.00,,28.08,9999
Womens Fleece Crewneck - Sand Dune,womens-fleece-crewneck,ACTIVE,,Merch,,HEATHR SAND DUNE / M,MULTI,Color=HEATHR SAND DUNE|Size=M,19g649mlbpe0up,45.00,,28.08,9999
Womens Fleece Crewneck - Sand Dune,womens-fleece-crewneck,ACTIVE,,Merch,,HEATHR SAND DUNE / L,MULTI,Color=HEATHR SAND DUNE|Size=L,19g649mlbpe0ut,45.00,,28.08,9999
Womens Fleece Crewneck - Sand Dune,womens-fleece-crewneck,ACTIVE,,Merch,,HEATHR SAND DUNE / XL,MULTI,Color=HEATHR SAND DUNE|Size=XL,19g649mlbpe0ux,45.00,,28.08,11
Womens Fleece Crewneck - Sand Dune,womens-fleece-crewneck,ACTIVE,,Merch,,HEATHR SAND DUNE / 2XL,MULTI,Color=HEATHR SAND DUNE|Size=2XL,19g649mlbpe0v0,45.00,,29.08,9999
Womens Fleece Crewneck - Bone,women-fleece-crewneck,ACTIVE,,Merch,,Bone / S,MULTI,Color=Bone|Size=S,19g649mlbpg4kf,45.00,,25.35,9999
Womens Fleece Crewneck - Bone,women-fleece-crewneck,ACTIVE,,Merch,,Bone / M,MULTI,Color=Bone|Size=M,19g649mlbpg4kh,45.00,,25.35,9999
Womens Fleece Crewneck - Bone,women-fleece-crewneck,ACTIVE,,Merch,,Bone / L,MULTI,Color=Bone|Size=L,19g649mlbpg4kj,45.00,,25.35,9999
Womens Fleece Crewneck - Bone,women-fleece-crewneck,ACTIVE,,Merch,,Bone / XL,MULTI,Color=Bone|Size=XL,19g649mlbpg4kk,45.00,,25.35,9999
Womens Fleece Crewneck - Bone,women-fleece-crewneck,ACTIVE,,Merch,,Bone / 2XL,MULTI,Color=Bone|Size=2XL,19g649mlbpg4km,45.00,,26.35,9999
Embroidery Scissors,embroidery-scissors,DRAFT,,Accessories,,Pewter,Color,Pewter,,10.00,,,0
Embroidery Scissors,embroidery-scissors,DRAFT,,Accessories,,Copper,Color,Copper,,10.00,,,0
Seam Ripper,seam-ripper,ACTIVE,,Accessories,,Default Title,Title,Default Title,,3.00,,,68
Project Bag,project-bag,ACTIVE,,Accessories,,Red,Color,Red,,8.00,,,14
Project Bag,project-bag,ACTIVE,,Accessories,,Yellow,Color,Yellow,,8.00,,,36
Project Bag,project-bag,ACTIVE,,Accessories,,Blue,Color,Blue,,8.00,,,5
Project Bag,project-bag,ACTIVE,,Accessories,,Green,Color,Green,,8.00,,,11
Tapestry Needles,tapestry-needles,ACTIVE,,Accessories,,20,Needle size,20,,5.00,,,0
Tapestry Needles,tapestry-needles,ACTIVE,,Accessories,,22,Needle size,22,,5.00,,,0
Tapestry Needles,tapestry-needles,ACTIVE,,Accessories,,24,Needle size,24,,5.00,,,4
Needlework Finisher,needlework-finisher,DRAFT,,Accessories,,Default Title,Title,Default Title,,10.00,,,1
Whale Intro Kit,whale,ACTIVE,Needlepoint Canvas,Canvases|Intro,,Default Title,Title,Default Title,,35.00,,,-197
Shamrock Intro Kit,shamrock,ACTIVE,Needlepoint Canvas,Canvases|Intro|St. Paddy's Day,,Default Title,Title,Default Title,,35.00,,,-254
Heart Intro Kit,heart,ACTIVE,Needlepoint Canvas,Canvases|Intro,,Default Title,Title,Default Title,,35.00,,,-135
Horseshoe Intro Kit,horseshoe,ACTIVE,Needlepoint Canvas,Canvases|Intro,,Default Title,Title,Default Title,,35.00,,,-143
Mystery Misprint Bag,mystery-misprint-bag,ACTIVE,Needlepoint Canvas,Canvases,,Default Title,Title,Default Title,,50.00,,,-94
St. Paddy's Puppy (14),st-paddys-puppy,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-4
St. Paddy's Puppy (14),st-paddys-puppy,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-7
Shamrock Beer (14),shamrock-beer,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-6
Shamrock Beer (14),shamrock-beer,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-13
Lucky (14),lucky,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,No,Add kit +$15 (Threads/Needles),No,,45.00,,,-2
Lucky (14),lucky,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,Yes,Add kit +$15 (Threads/Needles),Yes,,60.00,,,-1
St Paddy's Matchbox (14),st-pattys-matchbox,DRAFT,Needlepoint Canvas,Canvases|St. Paddy's Day,,No,Add kit +$15 (Threads/Needles),No,,40.00,,,0
